Chemical System	Reaction	%A	%B	%C	Temperature, °C  	Reaction type  
Ag-Sn  	L + (Ag) = Ag0.8Sn0.2  	19.5  	11.5  	13  	724  	Peritectic  
Ag-Sn  	L + Ag0.8Sn0.2 = Ag3Sn  	49.6  	22.85  	25  	480  	Peritectic  
Ag-Sn  	L = Ag3Sn + (Sn) rt  	96.2  	25  	100  	221  	Eutectic  
Ag-Sn  	Ag3Sn + (Sn) rt + (Sn) lt  	25  	100  	100  	13  	unknown  
Ag-Sr  	L = (Ag) + Ag5Sr  	10.8  	0  	15.4  	747  	Eutectic  
Ag-Sr  	L = Ag5Sr  	 	16.7  	 	783  	Congruent  
Ag-Sr  	L + Ag5Sr = Ag4Sr  	23.6  	16.8  	20  	713  	Peritectic  
Ag-Sr  	L = Ag4Sr + Ag2Sr  	27  	20  	33.3  	686  	Eutectic  
Ag-Sr  	L = Ag2Sr  	 	33.3  	 	760  	Congruent  
Ag-Sr  	L = Ag2Sr + AgSr  	45  	33.3  	50  	638  	Eutectic  
Ag-Sr  	L = AgSr  	 	50  	 	980  	Congruent  
Ag-Sr  	L = AgSr + Ag2Sr3  	55  	50  	60  	645  	Eutectic  
Ag-Sr  	L = Ag2Sr3  	 	60  	 	665  	Congruent  
Ag-Sr  	L = Ag2Sr + (Sr) rt  	76.5  	60  	100  	436  	Eutectic  
Ag-Sr  	L + (Sr) ht + (Sr) rt  	81.5  	100  	100  	547  	unknown  
Ag-Tb  	L = (Ag) + Ag51Tb14  	11  	1.1  	21.5  	801  	Eutectic  
Ag-Tb  	L = Ag51Tb14  	 	23  	 	985  	Congruent  
Ag-Tb  	L = Ag51Tb14 + Ag2Tb  	31.5  	26  	33.3  	885  	Eutectic  
Ag-Tb  	L = Ag2Tb  	 	33.3  	 	915  	Congruent  
Ag-Tb  	L = Ag2Tb + AgTb  	35  	33.3  	50  	900  	Eutectic  
Ag-Tb  	L = AgTb  	 	50  	 	1145  	Congruent  
Ag-Tb  	L = AgTb + (Tb) rt  	75  	50  	100  	860  	Eutectic  
Ag-Tb  	L + (Tb) ht + (Tb) rt  	94  	100  	100  	1289  	unknown  
Ag-Te  	L2 = L1 + Ag2Te ht2  	30.3  	11.9  	33.3  	881  	Monotectic  
Ag-Te  	L1 = (Ag) + Ag2Te ht2  	11.5  	0  	33.3  	859  	Eutectic  
Ag-Te  	(Ag) + Ag2Te ht2 = Ag2Te ht1  	0  	33.3  	33.5  	881  	Peritectoid  
Ag-Te  	Ag2Te ht2 = L + Ag2Te ht1  	33.8  	40.3  	33.3  	689  	Catatectic  
Ag-Te  	L + Ag2Te ht1 = Ag1.9Te ht2  	51.7  	33.6  	34.5  	460  	Peritectic  
Ag-Te  	L + Ag1.9Te ht2 = Ag5Te3 ht  	55.6  	34.7  	37.8  	420  	Peritectic  
Ag-Te  	L = Ag5Te3 ht + (Te)  	66.7  	38  	100  	353  	Eutectic  
Ag-Te  	Ag5Te3 ht = Ag1.9Te ht1 +Ag10.6Te7 rt  	37.35  	34.35  	37.65  	265  	Eutectoid  
Ag-Te  	Ag5Te3 ht + (Te) = Ag10.6Te7 rt  	37.35  	100  	38.03  	295  	Peritectoid  
Ag-Te  	Ag2Te ht1 = Ag2Te rt  	 	33.3  	 	145  	Polymorphic  
Ag-Te  	Ag1.9Te ht2 = Ag1.9Te ht1  	 	34.35  	 	178  	Polymorphic  
Ag-Te  	Ag1.9Te ht1 = Ag2Te rt + Ag10.6Te7 rt  	34.5  	33.3  	37.85  	120  	Eutectoid  
